Record_ID,Date,Month,Quarter,Year,Region,Trust,Hospital,AE_Type,Attendances,Emergency_Admissions,Seen_Within_4Hours,Over_4Hours,Average_Waiting_Time,Longest_Wait_Hours,Left_Before_Treatment,Ambulance_Arrivals,Self_Referrals,GP_Referrals,Other_Referrals
1,01/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,442,120,298,144,311,7.4,10,153,231,23,188
2,01/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,665,53,498,167,211,4.6,0,216,54,61,550
3,01/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,297,82,223,74,301,14.7,20,178,208,73,16
4,01/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,455,76,376,79,155,4.9,3,69,158,44,253
5,01/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,276,157,201,75,256,14.4,3,117,53,17,206
6,02/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,412,176,299,113,197,8.6,14,197,186,13,213
7,02/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,356,186,266,90,180,10.2,5,136,132,65,159
8,02/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,458,111,310,148,173,11.2,25,108,118,55,285
9,02/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,419,89,299,120,253,14.6,17,149,293,77,49
10,02/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,357,159,332,25,314,5,12,119,50,36,271
11,03/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,354,162,262,92,106,8.9,16,178,267,22,65
12,03/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,513,93,475,38,96,14,21,208,64,42,407
13,03/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,290,94,233,57,291,13.9,20,197,231,80,21
14,03/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,665,105,635,30,220,12.5,24,82,205,75,385
15,03/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,649,113,605,44,277,12.1,7,190,199,63,387
16,04/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,650,127,450,200,186,9.4,9,155,105,40,505
17,04/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,661,129,544,117,92,12.9,17,203,131,20,510
18,04/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,333,68,299,34,294,7.7,22,122,181,27,125
19,04/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,469,150,428,41,304,8.9,6,199,89,49,331
20,04/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,321,66,202,119,317,10.5,2,126,181,61,79
21,05/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,471,120,360,111,95,9.4,6,172,89,73,309
22,05/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,532,117,444,88,115,13,4,122,175,77,280
23,05/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,389,183,261,128,233,10.6,5,192,208,20,161
24,05/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,261,152,204,57,206,13.2,7,88,247,39,25
25,05/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,692,153,618,74,91,10.8,10,188,178,42,472
26,06/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,495,193,317,178,182,13.9,4,162,255,76,164
27,06/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,611,154,551,60,116,5.1,14,93,202,62,347
28,06/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,343,185,238,105,278,5.8,16,151,157,70,116
29,06/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,348,123,242,106,225,10.5,22,104,220,59,69
30,06/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,482,142,312,170,303,7,17,85,274,12,196
31,07/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,278,117,203,75,131,8.2,20,159,215,23,40
32,07/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,333,118,261,72,145,6.9,14,183,178,35,120
33,07/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,357,69,327,30,261,15.2,8,50,146,39,172
34,07/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,265,142,249,16,158,14.1,4,192,255,21,11
35,07/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,441,146,277,164,218,15.7,10,67,138,76,227
36,08/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,540,83,491,49,307,14.1,24,170,171,27,342
37,08/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,323,138,267,56,138,12.3,14,131,74,68,181
38,08/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,527,77,447,80,133,4.2,11,170,71,77,379
39,08/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,427,63,323,104,243,9.2,7,158,250,67,110
40,08/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,438,57,426,12,135,15.6,8,192,178,11,249
41,09/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,258,53,229,29,194,12.9,10,176,292,71,105
42,09/01/2023,January,1,2023,London,Guy's and St Thomas' NHS Foundation Trust,St Thomas' Hospital,Type 1,633,197,520,113,181,5.7,24,174,206,72,355
43,09/01/2023,January,1,2023,Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Birmingham,Type 1,428,90,324,104,165,13.9,25,84,260,39,129
44,09/01/2023,January,1,2023,Yorkshire and Humber,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary,Type 1,472,196,307,165,180,14.1,2,57,185,36,251
45,09/01/2023,January,1,2023,South East,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital,Type 1,572,160,522,50,208,12,0,209,153,73,346
46,10/01/2023,January,1,2023,North West,Liverpool University Hospitals NHS Foundation Trust,Royal Liverpool University Hospital,Type 1,579,147,460,119,218,6.2,24,164,167,21,391
